,title,model,price
1,"HP - 14"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Grey",14-CA061DX ,"$,299.00"
2,"Acer - 15.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray",CB3-532-C8DF ,"$,199.00"
3,"Samsung - Chromebook 3 11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Metallic Black",XE500C13-K03US ,"$,201.99"
4,"Acer - R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - White",CB5-132T-C8ZW ,"$,259.00"
5,"Samsung - 11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Metallic Black",XE500C13-K05US ,
6,"HP - 2-in-1 12.3"" Touch-Screen Chromebook - Intel Core M - 4GB Memory - 32GB eMMC Flash Memory - HP Matte Finish In Ceramic White And Oxford Blue",X2 12-F014DX ,"$,649.00"
7,"Acer - 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory - Pure silver",CB515-1HT-P39B ,"$,319.99"
8,"Samsung - Chromebook Pro 2-in-1 12.3"" Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 64GB eMMC Flash Memory - Metallic Black",XE510C24-K04US ,"$,479.99"
9,"Google - Pixelbook 12.3"" Touchscreen Chromebook - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver",GA00122-US ,"$,749.00"
10,"Acer - Spin 15 2-in-1 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 64GB Solid State Drive - Sparkly Silver",CP315-1H-P1K8 ,"$,449.00"
11,"Samsung - Chromebook Plus 2-in-1 12.3"" Touch Screen Chromebook - 4GB memory - 32GB eMMC Flash Memory - Platinum Silver",XE513C24-K01US ,
12,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly Silver",CP311-1HN-C2DV ,"$,349.00"
13,"Acer - Chromebook 14"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",NX.GC2AA.017-REFURBISHED ,"$,186.00"
14,"Samsung - Plus 2-in-1 12.2"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Stealth Silver",XE521QAB ,"$,449.00"
15,"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - HP Finish In Chalkboard Gray",14-CA020NR ,"$,239.99"
16,"Samsung - 11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Night Charcoal",XE501C13-K02US ,"$,209.00"
17,"Acer - 15.6"" Refurbished Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Granite Gray",NX.GHJAA.007 ,"$,152.00"
18,"ASUS - Flip C302CA 12.5"" Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 32GB eMMC Flash Memory - Silver Metal, Silver Plastic",C302CA-GU001 ,"$,499.00"
19,"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - HP Finish In Snow White With A Brushed Pattern",14-CA050NR ,"$,299.99"
20,"ASUS - C300SA 13.3"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Light Blue",C300SADH02LB ,"$,229.00"
21,"Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",CB3431C5FM ,"$,284.99"
22,"Google - Pixelbook 12.3"" Touch-Screen Chromebook - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver",GA00123-US ,"$,1,199.00"
23,"Samsung - 11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Night Charcoal",XE501C13-K01US ,"$,179.00"
24,"ASUS - C300SA 13.3"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Red",C300SADH02RD ,"$,229.00"
25,"HP - 14"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - HP Finish In Chalkboard Gray",14-CA070NR ,"$,287.99"
26,"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - HP Finish In Snow White With A Brushed Pattern",14-CA030NR ,"$,249.99"
27,"Samsung - Pro 2-in-1 12.3"" Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 32GB eMMC Flash Memory - Metallic Black",XE510C25-K01US ,"$,629.00"
28,"HP - 14"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - HP Finish In Snow White With A Brushed Pattern",14-CA060NR ,"$,287.99"
29,"HP - 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Snow white",11-AE030NR ,"$,279.00"
30,"Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",CB5-312T-K8Z9 ,"$,399.00"
31,"ASUS - 13.3"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black",C300SADH02 ,"$,231.99"
32,"HP - 11.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black",1FX82UT ,"$,204.99"
33,"ASUS - Flip C213SA 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Gray, dark gray",C213SAYS02 ,"$,349.00"
34,"Dell - 11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Black",CRM3180RH02N ,"$,258.99"
35,"HP - 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Snow white",11-AE040NR ,"$,329.00"
36,"ASUS - Flip C302CA 2-in-1 12.5"" Touch-Screen Chromebook - Intel Core m5 - 4GB Memory - 64GB eMMC Flash Memory - Silver",C302CADH54 ,"$,610.99"
37,"Acer - 15.6"" Chromebook - Intel Core i3 - 4GB Memory - 32GB Solid State Drive - Black",C9103916 ,"$,449.00"
38,"Google - Pixelbook 12.3"" Touchscreen Chromebook - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver",GA00124-US ,"$,1,649.00"
39,"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - HP Finish In Chalkboard Gray",14-CA040NR ,"$,287.91"
40,"Dell - 11.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black",CRM318083C80 ,"$,249.00"
