"","prod_title","review_title","user","rating","text","helpful","unhelpful"
"1","Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver","I dont care for this chromebook at all","James",1,"Overall my experience with this chromebook was very bad. The case feels cheap, and the keys dont type well. The trackpad also didnt perform well at all. I would tell most people to look for something with better fit and finish. Not a good chromebook. Cheap, poor quality, and not good.",6,21
"2","Lenovo - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M1200M - 512GB Solid State Drive - Black","Solid, reliable, powerful","Charles",5,"This computer is not exciting or sleek, but it is a solid, reliable, proven machine. I'd used Thinkpads at work for years, and found them to be reliable and rugged, but this one is a world apart - it retains those traits, but is also much more capable (i7 processor, 16 gb DDR4 ram), faster (solid state drive, Windows 10), a very quick NVIDIA videocard (not chipset built into the motherboard) and nicer to look at (larger display, finer resolution. I especially like the multitude of ports it comes with; many USB, a USB-C, the upgraded DCIM video out, and the old style ""docking station"" port on bottom of machine (as opposed to more commonly found USB port replicator connections). And, the battery is user-replaceable (and higher capacity batteries are available). This is an old-school laptop, not the sleek 'toy' style tablet computer that is becoming popular; you don't buy this because it's nice to behold, you buy this because you want/need the power it offers, and the flexibility all those ports gives you (probably twice as many ports as the tablet computers offer). 

There is one feature I kind of regret, and that is the keyboard's 'off-center' placement. It is a fully featured keypad, complete with the 9-key number pad, arrow buttons, etc that you'll find on a desktop keyboard. That forces the center of the QWERTY keyboard off to left of center of the screen. Other reviewers noted this, and I'd dismissed them as whiners, but now that I'm using it, I do find it a bit disconcerting at times. But when used as would normally be used, that is sitting on a port replicator alongside a second larger display, full-sized keyboard, mouse, etc all plugged into the replicator as intended, it becomes a non-issue. They keyboard is otherwise outstanding; good key travel, 2-level lighting, good 'touch' (although not as wonderful as the old ""IBM touch"", sadly no longer available from anyone/anywhere). 

Bottom line - if you're looking for a machine that is reliable, very powerful, flexible, and built to outlast the technological rat-race for a number of years, you won't do better. If all you want is something that looks good at Starbuck's, well, go for one of the touch-screen ""tablet-puters"".

C",9,0
"3","Lenovo - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M1200M - 512GB Solid State Drive - Black","very good computer for computing","gordon",5,"The computer works well. The 4-core cpu is good for doing 
calculations. I don't use it for gaming, however, I am sure the 
gpu will be useful after programming it with CUDA.",2,0
"4","Acer - Spin 1 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Gray","nice 2 in 1","revdrbkh",4,"Purchased this Acer as a gift. Seems to be a pretty good value for the price. There is a small learning curve on being able to use it as a tablet as well as a laptop, but would recommend it.",0,0
"5","Lenovo - 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M500M - 512GB Solid State Drive - Black","Good computer once Geek Squad cleaned it up","GUESS",4,"The specs on this computer are excellent compared to what's currently available at this level. The hardware itself merits five stars so far and currently works fast and well. One of the only 2-in-1s with an i7, 16gb, and Nvidia dedicated graphics. However Lenovo ships it with enough junk software and out-of-date drivers that the computer had several frustrating operating problems at first. It took the Geek Squad and I spending several hours over two days cleaning and updating to fix. I came very close to returning the computer after the first day remoting with the Geek Squad was unsuccessful. But I tried a second day remoting with them until the persistent troubles were addressed. This is not a Geek Squad plug, and they were not perfect, but do get points for persistence. Details below for the benefit of others. 

One particularly bad problem was that when plugged into Lenovo's proprietary docking station, which is designed for this very unit, the computer would not reboot, instead freezing when rebooted, requiring unplugging the docking station and then doing a hard reboot. The Geek Squad did all sorts of things that made the unit work faster but still couldn't fix this docking station reboot issue. Ultimately, after all sorts of other cleaning and updates, I suggested to Geek Squad reinstalling the USB drivers for the keyboard and mouse. That final step fixed the reboot issue. But these were not obscure pieces of equipment. They were both standard Logitech items that work fine on my other computers, such as Dells and another Lenovo Thinkpad that isn't 2-in-1. I also tested a Microsoft USB keyboard to make sure it wasn't a Logitech thing, and sure enough the Microsoft keyboard also didn't work.

Lenovo should address these problems immediately in both its computer and the related proprietary docking station. I noticed that reviews of the docking station show other folks are having trouble with the docking station on related Lenovo computers and returning. Probably these folks just assumed the docking station doesn't work rather than spending several hours over two days with the Geek Squad trying different things to find solutions. 

As for Geek Squad itself I also give them a 4 star. It would have been 5 star except for one very frustrating thing. On the first day I ran out of time and so had to resume the next day. But the next day the first intake person had no ability to pick up where the specialist left off the day before, and the new specialist also had to start from scratch, so I lost nearly another hour watching two people on the second day repeat everything done on the first day. Since all of this occurs by chat, the Geek Squad should have been able to read what happened the day before and pick up from there rather than starting over. 

I hope this review helps others, and leads to Best Buy, Lenovo and Geek Squad making appropriate improvements. I've been using computers for years, never had a problem like thIs, never needed Geek Squad for any other computer, and was very persistent here. The typical buyer lacks the time and energy to go through all these steps, and should not have to with any computer, let alone a premium product.",12,2
"6","Lenovo - 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M500M - 512GB Solid State Drive - Black","Nice Laptop","Billiam",5,"This has been a great laptop for the money. Using it at work and have really liked the power it has.",0,0
"7","HP - ProBook 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black","Nice laptop","joepsycho4",5,"This is a very nice, inexpensive laptop. Great for browsing.",0,1
"8","HP - ProBook 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black","Great laptop","joepsycho4",5,"This is a nice, well priced business class laptop.",0,1
"9","HP - EliteBook Folio 9480m 14"" Laptop - Intel Core i5 - 4GB Memory - 256GB Solid State Drive - Platinum","TERRIBLE!!!: HP laptops and technical support are","Guuy",1,"TERRIBLE! HP laptops and technical support are terrible. DO NOT BUY THEIR COMPUTERS AND DEFINITELY DO NOT buy their warrantee packages. they DO NOT know how to fix their own computers; they do NOT honor their warrantees; their laptops start having problems within 6-9mos; and they will NOT be able to fix them. their TECHNICAL support people will give you the run around around and around; even if you send the unit to their center, it will come back not fixed and then they will give you the run around over and over again. 

I contacted and tried to work with their SmartFriend, Level 2 technical support, and no luck. more poor service and run around. and then I contacted their CORP HEADQUARTERS and what they call their ""EXEC CUSTOMER SERVICE"" and more poor service, no resolutions and round and around problems with them.

IN FACT: their SW experts said it was a HW problem; their HW experts said I was having a SW problem: and BOTH said that I had a bad unit and it should be replaced, but they wouldn't do it.",14,11
"10","HP - EliteBook Folio 9480m 14"" Laptop - Intel Core i5 - 4GB Memory - 256GB Solid State Drive - Platinum","Reliable and Fast","Nana",4,"It is fast and reliable. Like the fingerprint security feature.",0,0
