model,price,title
"A51751568Y, ","$,579.99","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black"
"I55705606SLV, ","$,679.99","Dell - Inspiron 15.6"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Silver"
"NX.VG0AA.004, ","$,312.99","Acer - TravelMate Spin B1 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Black"
"A51541GF3FL, ","$,749.99","Acer - 15.6"" Laptop - AMD FX - 16GB Memory - AMD Radeon RX 540 - 1TB Hard Drive + 256GB Solid State Drive - Obsidian Black"
"UX490UAXH74BL, ","$,1,399.99","ASUS - ZenBook 3 Deluxe UX490UA 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Royal blue"
"SF3145171UU, ","$,758.15","Acer - Swift 3 14"" Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive - Sparkly Silver"
"SW5017P17JJ, ","$,369.99","Acer - Switch V 10 2-in-1 10.1"" Touch-Screen Laptop - Intel Atom x5 - 4GB Memory - 64GB eMMC Flash Memory - Shale Black"
"80X50003US, ","$,769.99","Lenovo - 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Platinum silver"
"A5175133Q4, ","$,501.36","Acer - Aspire 5 17.3"" Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Obsidian Black"
"1BS00UT, ","$,948.99","HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
"1NW55UT, ","$,504.57","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture"
"1NW57UT, ","$,695.99","HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture"
"CRM3180D1J7Y, ","$,303.99","Dell - 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Black"
"1GE45UT, ","$,1,979.99","HP - EliteBook 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver"
"1NW56UT, ","$,574.99","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture"
"NX.GNTAA.007, ","$,302.09","Acer - Aspire 3 15.6"" Laptop - Intel Celeron - 4GB Memory - 1TB Hard Drive - Obsidian Black"
"20ER002KUS, ","$,1,831.99","Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black"
"SA527178M8, ","$,776.99","Acer - Switch Alpha 2-in-1 12"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Gray"
"A3155138QP, ","$,405.99","Acer - Aspire 3 15.6"" Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Obsidian Black"
"PRM7520WYDRD, ","$,2,019.99","Dell - 15.6"" Laptop - Intel Core i7 - 16GB Memory - AMD Radeon Pro WX 4130 - 512GB Solid State Drive - Black"
"NX.GHJAA.004, ","$,255.99","Acer - 15.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray"
"SF3145250KE, ","$,649.99","Acer - Swift 3 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Stellar Blue"
"80XB0002US, ","$,799.99","Lenovo - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx black"
"2ST00UT, ","$,604.99","HP - ProBook 15.6"" Laptop - Intel Core i3 - 4GB Memory - 500GB Hard Drive - Silver"
"2UL94UT, ","$,1,614.99","HP - EliteBook 14"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver, Diamond Cut Design"
"1GE40UT, ","$,1,149.99","HP - EliteBook 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"
"LATI7490R5VYY, ","$,1,817.99","Dell - Latitude 14.1"" Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive"
"1BS46UT, ","$,1,139.99","HP - EliteBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"
"TMB117MC9GH, ","$,314.99","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black"
"W2A17UT, ","$,1,089.99","HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
