"ASUSPRO B9440UA-XS74 Ultra Thin and Light Business Laptop, 14"" Wideview Full HD Narrow Bezel Display, Intel Core i7-7500U 2.7 GHz Processor, 512 GB SSD, 16 GB RAM, Windows 10 Pro, Fingerprint, 10 hrs",Model #: B9440UA-XS74,$899.99
"ASUS Laptop B9440UA-XS51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB LPDDR3 Memory 512 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: B9440UA-XS51,$779.99
"ASUS Laptop P Series P2440UA-XS51 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: P2440UA-XS51,$733.01
"ASUS ZenBook 3 Deluxe UX490UA 14"" FHD Ultraportable Laptop, Intel Core i7-8550U, 16 GB RAM, 512 GB NVMe SSD, Windows 10 Pro, Royal Blue",Model #: UX490UA-XH74-BL,"$1,557.78"
"HP Laptop 255 G6 (1LB17UT#ABA) AMD A6-Series A6-9220 (2.5 GHz) 8 GB Memory 256 GB SSD AMD Radeon R4 Series 15.6"" Windows 10 Pro 64-Bit",Model #: 255 G6 (1LB17UT#ABA),$509.99
"HP EliteBook 840 G3 Laptop Intel Core i5 6300U (2.40 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 520 14"" FHD 1920 x 1080 Windows 7 Professional 64-Bit",Model #: 840 G3 (T6F45UT#ABA),"$1,199.99"
"HP Laptop EliteBook 820 G3 (V1G98UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit (Downgrade rights from Windows 10 Pro)",Model #: 820 G3 (V1G98UT#ABA),"$1,049.99"
"HP Laptop EliteBook 820 G3 (V1H02UT#ABA) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit (with Windows 10 Pro License)",Model #: 820 G3 (V1H02UT#ABA),"$1,549.00"
"HP EliteBook 820 G4 - 12.5"" - Core i7 7500U - 16 GB RAM - 256 GB SSD",Model #: 1FX41UT#ABA,"$1,799.99"
"HP EliteBook 840 G3 (T6F47UT#ABA) 14"" Laptop Intel Core i5 6300U (2.40 GHz) 8 GB Memory 500 GB HDD Intel HD Graphics 520 Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 840 G3 (T6F47UT#ABA),"$1,240.99"
"HP ProBook 650 G3 - 15.6"" - Core i5 7200U - 4 GB RAM - 128 GB SSD",Model #: 1BR69UT#ABA,"$1,149.99"
LATITUDE 5280 12IN I5-7300U,Model #: 1K3T4,$955.56
"HP EliteBook 850 G4 - 15.6"" - Core i7 7500U - 8 GB RAM - 256 GB SSD",Model #: 1BS52UT#ABA,"$1,699.99"
"DELL 12.5"" I5 7300U 4GB 128GB",Model #: s002l728012us,$998.55
"DELL 15"" I5 7440H 8GB 500GB",Model #: s005l558015us,"$1,145.67"
"HP Laptop EliteBook 820 G3 (V1H00UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro)",Model #: 820 G3 (V1H00UT#ABA),"$1,347.26"
"DELL Laptop XPS 13 FJ7FF Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 13.3"" Touchscreen Windows 10 Pro 64-Bit",Model #: FJ7FF,"$2,008.99 (2 Offers)"
"HP Laptop ProBook 650 G2 (W2A17UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade",Model #: 650 G2 (W2A17UT#ABA),"$1,042.99"
"HP Laptop ProBook 640 G3 (1BS09UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB M.2 SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: 640 G3 (1BS09UT#ABA),$987.99
"HP Laptop 250 G6 (2DW50UT#ABA) Intel Core i3 6th Gen 6006U (2.00 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 15.6"" Windows 10 Pro 64-Bit",Model #: 250 G6 (2DW50UT#ABA),$461.02
"HP EliteBook 850 G3 (V1H16UT#ABA) 15.6"" Laptop Intel Core i5 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 850 G3 (V1H16UT#ABA),"$1,011.99"
Dell - 8HRPD - Dell Latitude 12 7000 E7250 12.5 LCD Ultrabook - Intel Core i7 (7th Gen) i7-7600U Dual-core (2 Core) 2.80,Model #: 8HRPD,"$1,597.37"
"HP Laptop EliteBook 840 G4 (1GE41UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Touchscreen Windows 10 Pro 64-Bit",Model #: 840 G4 (1GE41UT#ABA),"$1,699.99"
"HP Laptop EliteBook 820 G3 (V1H03UT#ABA) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade",Model #: 820 G3 (V1H03UT#ABA),"$1,812.99"
"HP Laptop EliteBook 820 G4 (1FX34UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 12.5"" Windows 10 Pro 64-Bit",Model #: 820 G4 (1FX34UT#ABA),$989.99
"DELL 15"" I7 72820H 8GB 256GB",Model #: s007l558015us,"$1,600.82"
"HP EliteBook 840 G3 (V1H25UT#ABA) Laptop Intel Core i7 6600U (2.60 GHz) 8 GB Memory 512 GB SSD Intel HD Graphics 520 14"" QHD UWVA 2560 x 1440 Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 840 G3 (V1H25UT#ABA),"$1,880.99"
"Lenovo 20K6000RUS Thinkpad X270 20K6 - Core I7 6500U / 2.5 Ghz - Win 7 Pro 64-Bit (Includes Win 10 Pro 64-Bit License) - 8 Gb Ram - 512 Gb Ssd Tcg Opal Encryption 2, Nvm Express (Nvme) - 12.5 Inch Ip",Model #: 20K6000RUS,"$1,766.80"
LATITUDE 5280 12IN I5-7300U,Model #: 2P9Y8,"$1,003.48"
"Lenovo 20JY0004US Thinkpad P51S 20Jy - Core I7 6500U / 2.5 Ghz - Win 7 Pro 64-Bit (Includes Win 10 Pro 64-Bit License) - 16 Gb Ram - 512 Gb Ssd Tcg Opal Encryption 2, Nvme - 15.6 Inch Ips 1920 X 1080",Model #: ,"$1,412.31"
"HP Laptop EliteBook 1040 G3 (V1P90UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 1040 G3 (V1P90UT#ABA),"$1,388.99"
"DELL Laptop Latitude 5580 (X1W6W) Intel Core i7 7th Gen 7820HQ (2.90 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce 940MX 15.6"" Windows 10 Pro 64-Bit",Model #: 5580 (X1W6W),"$1,657.79"
"HP Laptop 250 G6 (1NW56UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: 250 G6 (1NW56UT#ABA),$530.74
"HP Laptop ProBook 650 G3 (1BS00UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: 650 G3 (1BS00UT#ABA),$869.99
"DELL 14"" I5 7300U 4GB 128GB",Model #: CT1FM,"$1,114.12"
"DELL 14"" I5 7200U 4GB 128GB",Model #: CDH2J,"$1,030.98"
"HP Laptop ProBook 640 G2 (V1H09UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade",Model #: 640 G2 (V1H09UT#ABA),"$1,042.99"
HP SMART BUY ELITEBOOK 850 G4,Model #: 1BS54UT#ABA,"$1,709.99"
LATITUDE 5280 12IN I5-7300U,Model #: 2P9Y8,"$1,003.48"
"Lenovo 20JY0004US Thinkpad P51S 20Jy - Core I7 6500U / 2.5 Ghz - Win 7 Pro 64-Bit (Includes Win 10 Pro 64-Bit License) - 16 Gb Ram - 512 Gb Ssd Tcg Opal Encryption 2, Nvme - 15.6 Inch Ips 1920 X 1080",Model #: ,"$1,412.31"
"HP Laptop EliteBook 1040 G3 (V2W23UT#ABA) Intel Core i7 6th Gen 6600U (2.60 GHz) 16 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-Bit",Model #: 1040 G3 (V2W23UT#ABA),"$1,969.00"
"HP Laptop ProBook 650 G3 (1BS16UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: 650 G3 (1BS16UT#ABA),$808.99
"DELL Laptop Latitude 5480 (4C99R) Intel Core i5 7th Gen 7300U (2.60 GHz) 8 GB Memory 256 GB HDD 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: 5480 (4C99R),"$1,124.83"
"HP Laptop EliteBook 840 G4 (1GE43UT#ABA) Intel Core i5 7th Gen 7300U (2.60 GHz) 16 GB Memory 512 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: 840 G4 (1GE43UT#ABA),"$1,664.00"
"HP EliteBook 850 G3 (V1H16UT#ABA) 15.6"" Laptop Intel Core i5 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 850 G3 (V1H16UT#ABA),"$1,011.99"
HP Laptop EliteBook 1040 G3 (V2W21UT#ABA) Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0” Windows 7 Professional 64-Bit (downgrade from Windows 10 Pro),Model #: 1040 G3 (V2W21UT#ABA),"$1,617.99"
"Dell Latitude 5000 5480 14"" LCD Notebook - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 7 Professional 64-bit (English/French/Spanish) upg",Model #: MJ0VH,"$1,104.59"
"HP Laptop EliteBook 820 G4 (1FX34UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 12.5"" Windows 10 Pro 64-Bit",Model #: 820 G4 (1FX34UT#ABA),$989.99
"HP Laptop EliteBook 840 G4 (1GE41UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Touchscreen Windows 10 Pro 64-Bit",Model #: 840 G4 (1GE41UT#ABA),"$1,699.99"
