"MSI GF63 8RD-NE1050Ti Gaming Laptop GTX 1050 Ti  i7-8750H  15.6"" Windows 10 Home 64-Bit -- ONLY @ NEWEGG",Model #: GF63 8RD-NE1050Ti,$969.00
"ASUS FX503VD 15.6"" FHD Powerful Gaming Laptop, Intel Core i5-7300HQ 2.5 GHz Processor, GeForce GTX 1050, 1 TB SSHD, 8 GB DDR4, Windows 10 Home",Model #: FX503VD-WH51,$774.00 (2 Offers)
"Acer Aspire 7 A717-72G-700J 17.3"" IPS FHD GTX 1060 6GB VRAM i7-8750H 16 GB Memory 256 GB SSD Windows 10 VR Ready Gaming Laptop - ONLY @ NEWEGG",Model #: A717-72G-700J,"$1,129.99"
"ASUS K570UD-DS74 15.6"" Intel Core i7 8th Gen 8550U (1.80 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: K570UD-DS74,$849.00 (3 Offers)
"ASUS ROG Strix Scar Edition 17.3"" 120 Hz GTX 1060 6GB VRAM i7-8750H 16 GB Memory 128 GB PCIe SSD + 1 TB SSHD Windows 10 Home VR Ready Gaming Laptop - ONLY @ NEWEGG",Model #: GL703GM-NS73,"$1,299.00"
"GIGABYTE Aero 15W v8-BK4 15.6"" Thin Bezel 144 Hz i7-8750H GTX 1060 Memory 512 GB SSD Windows 10 Home Gaming Laptop",Model #: Aero 15W v8-BK4,"$1,999.00 (4 Offers)"
"MSI GP63 Leopard-041 Gaming Laptop GTX 1050 Ti  i7-8750H 15.6"" Windows 10 Home 64-Bit",Model #: GP63 Leopard-041,"$1,299.00 (3 Offers)"
"MSI GS65 Stealth THIN-054 Gaming Laptop GTX 1070 Intel Core i7-8750H 15.6"" Windows 10 Home 64-Bit",Model #: GS65 Stealth THIN-054,"$2,099.00 (6 Offers)"
"Acer Predator 17 G5-793-79SG 17.3"" IPS GTX 1060 6GB VRAM i7-7700HQ 16 GB Memory 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",Model #: G5-793-79SG,"$1,119.99"
"ASUS TUF FX504 15.6"" Full HD GTX 1050 i5-8300H 8 GB Memory 1 TB SSHD Windows 10 Home Gaming Laptop",Model #: FX504GD-ES51,$699.00 (4 Offers)
"MSI GX63VR-NE1070 15.6"" 120 Hz GTX 1070 i7-7700HQ 16 GB Memory 256 GB M.2 SATA SSD + 1 TB HDD Windows 10 Home VR Ready Gaming Laptop - ONLY @ NEWEGG",Model #: GX63VR-NE1070,"$1,499.00"
"MSI GL62M 15.6"" IPS GTX 1050 i5-7300HQ 8 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop",Model #: GL62M 7RD-1407,$699.00
