,title,model,price
1,"ASUS FX503VD 15.6"" FHD Powerful Gaming Laptop, Intel Core i5-7300HQ 2.5 GHz Processor, GeForce GTX 1050, 1 TB SSHD, 8 GB DDR4, Windows 10 Home",FX503VD-WH51,$774.00 
2,"Acer Aspire 7 A717-72G-700J 17.3"" IPS FHD GTX 1060 6GB VRAM i7-8750H 16 GB Memory 256 GB SSD Windows 10 VR Ready Gaming Laptop - ONLY @ NEWEGG",A717-72G-700J,"$1,129.99 "
3,"ASUS K570UD-DS74 15.6"" Intel Core i7 8th Gen 8550U (1.80 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",K570UD-DS74,$849.00 
4,"ASUS ROG Strix Scar Edition 17.3"" 120 Hz GTX 1060 6GB VRAM i7-8750H 16 GB Memory 128 GB PCIe SSD + 1 TB SSHD Windows 10 Home VR Ready Gaming Laptop - ONLY @ NEWEGG",GL703GM-NS73,"$1,299.00 "
5,"GIGABYTE Aero 15W v8-BK4 15.6"" Thin Bezel 144 Hz i7-8750H GTX 1060 Memory 512 GB SSD Windows 10 Home Gaming Laptop",Aero 15W v8-BK4,"$1,999.00 "
6,"MSI GP63 Leopard-041 Gaming Laptop GTX 1050 Ti  i7-8750H 15.6"" Windows 10 Home 64-Bit",GP63 Leopard-041,"$1,299.00 "
7,"MSI GS65 Stealth THIN-054 Gaming Laptop GTX 1070 Intel Core i7-8750H 15.6"" Windows 10 Home 64-Bit",GS65 Stealth THIN-054,"$2,099.00 "
8,"Acer Predator 17 G5-793-79SG 17.3"" IPS GTX 1060 6GB VRAM i7-7700HQ 16 GB Memory 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",G5-793-79SG,"$1,119.99 "
9,"ASUS TUF FX504 15.6"" Full HD GTX 1050 i5-8300H 8 GB Memory 1 TB SSHD Windows 10 Home Gaming Laptop",FX504GD-ES51,$699.00 
10,"MSI GX63VR-NE1070 15.6"" 120 Hz GTX 1070 i7-7700HQ 16 GB Memory 256 GB M.2 SATA SSD + 1 TB HDD Windows 10 Home VR Ready Gaming Laptop - ONLY @ NEWEGG",GX63VR-NE1070,"$1,499.00 "
11,"MSI GL62M 15.6"" IPS GTX 1050 i5-7300HQ 8 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop",GL62M 7RD-1407,$699.00 
12,"Lenovo Y520 (80WK00HTUS) 15.6"" IPS i5-7300HQ GTX 1050 Ti 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Y520 (80WK00HTUS),$989.00 
13,ASUS ZenBook UX550VE-XH71 15.6-inch NanoEdge Full HD GTX 1050 Ti i7-7700HQ 16GB Memory PCIE NVMe 512GB SSD Windows 10 Pro Gaming Laptop,UX550VE-XH71,"$1,229.00 "
14,"MSI GE72MVR APACHE PRO-080 17.3"" 120 Hz FHD GTX 1070 8 GB VRAM i7-7700HQ 16 GB Memory 128 GB NVMe SSD 1 TB HDD Windows 10 Home VR Ready Gaming Laptop",GE72MVR APACHE PRO-080,"$1,499.00 "
15,"Acer Predator 15 G9-593-73N6 15.6"" Full HD G-SYNC GTX 1060 6GB VRAM i7-7700HQ 16GB Memory 1TB HDD + 256GB SSD Windows 10 Home VR Ready Gaming Laptop",G9-593-73N6,"$1,363.00 "
